Name,Section,Title,Subject,Topic,OpenSeats,Credits
Drawing,001,Drawing,Fine Arts (RCARTS) Open Sections,,"   5",4.00
Photography,001,Photography,Fine Arts (RCARTS) Open Sections,,"   2",4.00
Photography,002,Photography,Fine Arts (RCARTS) Open Sections,,"   7",4.00
Photography,003,Photography,Fine Arts (RCARTS) Open Sections,,"   3",4.00
Ceramics I,003,Ceramics I,Fine Arts (RCARTS) Open Sections,,"   3",4.00
Visual Art in Prison,001,Visual Art in Prison,Fine Arts (RCARTS) Open Sections,,"   3",4.00
Book Arts,001,Book Arts,Fine Arts (RCARTS) Open Sections,,"   1",4.00
Sp Tpcs: Visual Arts,002,Sp Tpcs: Visual Arts,Fine Arts (RCARTS) Open Sections,,"   5",4.00
Photography II,002,Photography II,Fine Arts (RCARTS) Open Sections,,"   7",4.00
Photography III,002,Photography III,Fine Arts (RCARTS) Open Sections,,"   7",4.00
Furniture II,001,Furniture II,Fine Arts (RCARTS) Open Sections,,"   2",4.00
Furniture III,001,Furniture III,Fine Arts (RCARTS) Open Sections,,"   2",4.00
Ceramics II,002,Ceramics II,Fine Arts (RCARTS) Open Sections,,"   1",4.00
Ceramics II,003,Ceramics II,Fine Arts (RCARTS) Open Sections,,"   3",4.00
Ceramics III,002,Ceramics III,Fine Arts (RCARTS) Open Sections,,"   1",4.00
Ceramics III,003,Ceramics III,Fine Arts (RCARTS) Open Sections,,"   3",4.00
Adv Topics Vis Arts,001,Adv Topics Vis Arts,Fine Arts (RCARTS) Open Sections,,"  10",1.00
Intro to Dance,002,Intro to Dance,Dance (DANCE) Open Sections,,"   6",1.00
Intro to Dance,003,Intro to Dance,Dance (DANCE) Open Sections,,"   2",1.00
Intro to Dance,008,Intro to Dance,Dance (DANCE) Open Sections,,"  19",1.00
Intro to Dance,009,Intro to Dance,Dance (DANCE) Open Sections,,"   9",1.00
Intro to Dance,012,Intro to Dance,Dance (DANCE) Open Sections,,"  11",1.00
Intro to Dance,013,Intro to Dance,Dance (DANCE) Open Sections,,"   4",1.00
Intro to Dance,014,Intro to Dance,Dance (DANCE) Open Sections,,"   3",1.00
