Name,Section,Title,Subject,Topic,OpenSeats,Credits
FYS in Arts & Ideas,001,FYS in Arts & Ideas,Humanities (RCHUMS) Open Sections,,"  18",3.00
Intro to FTVM,002,Intro to FTVM,Humanities (RCHUMS) Open Sections,,"   1",4.00
Intro to FTVM,006,Intro to FTVM,Humanities (RCHUMS) Open Sections,,"  19",4.00
Intro to FTVM,001,Intro to FTVM,Humanities (RCHUMS) Open Sections,," ",4.00
Intro to FTVM,008,Intro to FTVM,Humanities (RCHUMS) Open Sections,," ",4.00
How to Think (Arts),002,How to Think (Arts),Humanities (RCHUMS) Open Sections,,"  11",4.00
Art of Dance,001,Art of Dance,Humanities (RCHUMS) Open Sections,,"   8",3.00
Mid Ages/Mod World,001,Mid Ages/Mod World,Humanities (RCHUMS) Open Sections,,"   7",3.00
Represent in Art,001,Represent in Art,Humanities (RCHUMS) Open Sections,,"   2",3.00
Art & Culture,001,Art & Culture,Humanities (RCHUMS) Open Sections,,"   3",3.00
Topics in Humanities,006,Topics in Humanities,Humanities (RCHUMS) Open Sections,,"   5",3.00
Topics in Humanities,015,Topics in Humanities,Humanities (RCHUMS) Open Sections,,"   5",3.00
Topics in Humanities,016,Topics in Humanities,Humanities (RCHUMS) Open Sections,,"   2",3.00
Topics in Humanities,020,Topics in Humanities,Humanities (RCHUMS) Open Sections,,"  10",3.00
Reason/Passion 18thC,001,Reason/Passion 18thC,Humanities (RCHUMS) Open Sections,,"   6",3.00
Survey Russ Lit,002,Survey Russ Lit,Humanities (RCHUMS) Open Sections,,"  14",4.00
Survey Russ Lit,003,Survey Russ Lit,Humanities (RCHUMS) Open Sections,,"   9",4.00
Survey Russ Lit,001,Survey Russ Lit,Humanities (RCHUMS) Open Sections,," ",4.00
Symphonic Century,001,Symphonic Century,Humanities (RCHUMS) Open Sections,,"   6",3.00
Ancient Greek World,002,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  12",4.00
Ancient Greek World,003,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  17",4.00
Ancient Greek World,004,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  18",4.00
Ancient Greek World,006,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  17",4.00
Ancient Greek World,007,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  18",4.00
Ancient Greek World,008,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  17",4.00
Ancient Greek World,009,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  17",4.00
Ancient Greek World,010,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  18",4.00
Ancient Greek World,011,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  17",4.00
Ancient Greek World,012,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  18",4.00
Ancient Greek World,013,Ancient Greek World,Classical Civilization (CLCIV) Open Sections,,"  18",4.00
