Name,Section,Title,Subject,Topic,OpenSeats,Credits
Evol Envir GlobHeath,002,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  25",4.00
Evol Envir GlobHeath,003,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  17",4.00
Evol Envir GlobHeath,004,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  20",4.00
Evol Envir GlobHeath,005,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  24",4.00
Evol Envir GlobHeath,006,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  21",4.00
Evol Envir GlobHeath,007,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  19",4.00
Evol Envir GlobHeath,008,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  18",4.00
Evol Envir GlobHeath,009,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   9",4.00
Evol Envir GlobHeath,001,Evol Envir GlobHeath,"Anthropology,Biological (ANTHRBIO) Open Sections",," ",4.00
How Humans Evolved,006,How Humans Evolved,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   1",4.00
How Humans Evolved,007,How Humans Evolved,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   8",4.00
How Humans Evolved,001,How Humans Evolved,"Anthropology,Biological (ANTHRBIO) Open Sections",," ",4.00
Primate Behavior,004,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  18",4.00
Primate Behavior,006,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   1",4.00
Primate Behavior,007,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  20",4.00
Primate Behavior,008,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  18",4.00
Primate Behavior,009,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  21",4.00
Primate Behavior,001,Primate Behavior,"Anthropology,Biological (ANTHRBIO) Open Sections",," ",4.00
Techn in Bio Anthro,001,Techn in Bio Anthro,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  15",1.00-3.00
Stats Modeling in R,002,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   7",4.00
Stats Modeling in R,003,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   3",4.00
Stats Modeling in R,004,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   6",4.00
Stats Modeling in R,006,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   8",4.00
Stats Modeling in R,007,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   5",4.00
Stats Modeling in R,001,Stats Modeling in R,"Anthropology,Biological (ANTHRBIO) Open Sections",," ",4.00
Topics Biol Anthro,001,Topics Biol Anthro,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  16",3.00
Topics Biol Anthro,002,Topics Biol Anthro,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  13",3.00
Research in Bio Anth,002,Research in Bio Anth,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   2",3.00-4.00
Evolution-Human Diet,001,Evolution-Human Diet,"Anthropology,Biological (ANTHRBIO) Open Sections",,"  14",3.00
Grant-Writing,001,Grant-Writing,"Anthropology,Biological (ANTHRBIO) Open Sections",,"   4",3.00
