Name,Section,Title,Subject,Topic,OpenSeats,Credits
FY Sem-Archaeology,001,FY Sem-Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,,"  18",3.00
Doing Archaeology,003,Doing Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,,"  19",4.00
Doing Archaeology,004,Doing Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,,"  13",4.00
Doing Archaeology,001,Doing Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,," ",4.00
Frauds in Archaeol,003,Frauds in Archaeol,Anthropological Archaeology (ANTHRARC) Open Sections,,"   1",4.00
Frauds in Archaeol,001,Frauds in Archaeol,Anthropological Archaeology (ANTHRARC) Open Sections,," ",4.00
Archaeo Underwater,001,Archaeo Underwater,Anthropological Archaeology (ANTHRARC) Open Sections,,"  24",3.00
Archaeology Topics,001,Archaeology Topics,Anthropological Archaeology (ANTHRARC) Open Sections,,"  10",3.00
Archaeology Topics,002,Archaeology Topics,Anthropological Archaeology (ANTHRARC) Open Sections,,"  15",3.00
Archaeology Topics,003,Archaeology Topics,Anthropological Archaeology (ANTHRARC) Open Sections,,"  13",3.00
Archaeology I,001,Archaeology I,Anthropological Archaeology (ANTHRARC) Open Sections,,"  12",3.00
Archaeol Systematic,001,Archaeol Systematic,Anthropological Archaeology (ANTHRARC) Open Sections,,"  13",3.00
Topics Archaeology,001,Topics Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,,"  10",3.00
Topics Archaeology,002,Topics Archaeology,Anthropological Archaeology (ANTHRARC) Open Sections,,"  15",3.00
Curr Dev Anth Theory,001,Curr Dev Anth Theory,Anthropological Archaeology (ANTHRARC) Open Sections,,"  20",1.00
Grad Proseminar,001,Grad Proseminar,Anthropological Archaeology (ANTHRARC) Open Sections,,"  24",2.00
Diss-Precand,004,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,005,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,006,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,007,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,008,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,010,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,037,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Precand,044,Diss-Precand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",1.00-8.00
Diss-Cand,004,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  24",8.00
Diss-Cand,005,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
Diss-Cand,006,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
Diss-Cand,007,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
Diss-Cand,008,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
Diss-Cand,010,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
